Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=1985000 | SOC=82.94 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1995000 | SOC=82.95 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2005000 | SOC=82.97 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2015000 | SOC=82.98 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2025000 | SOC=83.00 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2035000 | SOC=83.02 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2045000 | SOC=83.03 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2055000 | SOC=83.05 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2065000 | SOC=83.06 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2075000 | SOC=83.08 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2085000 | SOC=83.09 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2095000 | SOC=83.11 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2105000 | SOC=83.12 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2115000 | SOC=83.14 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2125000 | SOC=83.16 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2135000 | SOC=83.17 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2145000 | SOC=83.19 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2155000 | SOC=83.20 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2165000 | SOC=83.22 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2175000 | SOC=83.23 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2185000 | SOC=83.25 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=2195000 | SOC=83.27 | V_est=3.504 | V_meas=3.660 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
